Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/29/2021,414,3,26,93,87,102,51,37,25,14,5,0,211,197,6,57,14,125,134,44,40,0,0,0,1,0,0,1,1,0,1,2,0,1,0,2,0,0,0,0,4,5,3,3,6,2,3,0,17,9,0,7,1,12,4,0,2
11/15/2021,690,5,36,193,121,144,99,67,35,20,11,0,343,338,9,105,11,171,215,54,134,0,0,0,0,0,2,1,2,0,4,1,0,1,0,2,2,0,0,1,4,4,5,4,8,4,6,0,19,17,0,7,2,17,8,1,1
01/01/2022,1884,20,185,352,371,356,280,233,151,84,56,1,998,872,14,429,78,500,395,123,359,0,0,0,1,3,5,6,5,0,10,10,0,3,1,12,4,0,0,12,19,23,15,28,24,36,28,0,97,87,1,51,5,98,23,3,5
04/14/2021,772,9,49,143,215,175,115,61,37,11,15,0,413,358,1,195,26,253,193,22,83,0,0,1,0,1,1,2,4,0,3,6,0,3,0,4,1,0,1,4,4,7,5,4,11,4,10,0,29,20,0,11,1,30,6,1,0
01/21/2021,817,10,64,97,191,160,121,118,76,36,18,0,417,399,1,313,27,183,188,39,67,0,0,1,1,0,2,2,4,0,5,5,0,3,0,5,2,0,0,3,3,5,6,11,16,17,3,0,30,34,0,19,2,33,7,2,1
07/12/2020,97,4,15,7,33,15,19,11,3,7,2,0,52,45,0,31,4,27,24,2,9,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,3,0,1,2,2,5,1,0,6,9,0,3,3,8,1,0,0
12/25/2020,160,20,68,8,33,24,20,16,21,17,21,0,75,84,1,43,10,48,36,12,11,0,0,1,0,2,6,4,7,0,6,14,0,8,0,4,8,0,0,0,4,7,7,7,14,11,18,0,37,31,0,27,2,24,14,1,0
01/10/2022,4863,29,218,990,948,794,690,630,465,220,126,0,2560,2273,30,1128,236,863,1137,331,1168,0,0,0,2,1,5,10,11,0,13,16,0,6,1,12,10,0,0,6,18,21,15,35,41,33,49,0,119,99,0,55,6,106,43,6,2
01/02/2021,1114,21,63,126,277,210,191,147,86,51,26,0,590,522,2,462,37,164,316,56,79,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,1,6,5,7,10,14,11,9,0,26,37,0,15,4,28,13,3,0
03/03/2021,336,5,24,46,90,72,56,29,25,14,4,0,160,176,0,86,21,75,103,29,22,0,0,0,0,0,1,1,3,0,3,2,0,0,1,3,1,0,0,1,2,1,1,4,8,5,2,0,15,9,0,2,0,13,9,0,0
